name,url,image_url,Item ID,Total Price,Weight,Per Carat Price,Color,Shape,Clarity,Cut,Color Intensity,Origin,Treatments,Length,Width,Height,Price per Length
Padparadscha Sapphire - Oval 2.01 Ct. #S15407,https://www.thenaturalsapphirecompany.com/2.01ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s15407-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s15407/image/certified-natural-ceylon(srilanka)-oval-padparadscha-sapphire-2.0100-cts-s15407-1-full.jpg,S15407,6879,2.01,"$3,422.39 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,8.66,6.4,4.16,794.3418013856813
Padparadscha Sapphire - Oval 1.59 Ct. #S15496,https://www.thenaturalsapphirecompany.com/1.59ct-madagascar-oval-padparadscha-sapphire-s15496-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s15496/image/certified-natural-untreated-ceylon(srilanka)-oval-padparadscha-sapphire-1.5900-cts-s15496-1-full.jpg,S15496,6913,1.59,"$4,347.8 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,No Enhancement,7.8,5.82,3.96,886.2820512820513
Padparadscha Sapphire - Oval 2.06 Ct. #S14642,https://www.thenaturalsapphirecompany.com/2.06ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s14642-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s14642/image/certified-natural-ceylon(srilanka)-oval-padparadscha-sapphire-2.0600-cts-s14642-1-full.jpg,S14642,7050,2.06,"$3,422.33 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,8.02,6.56,4.38,879.0523690773068
Padparadscha Sapphire - Pear 2.02 Ct. #S13425,https://www.thenaturalsapphirecompany.com/2.02ct-madagascar-pear-padparadscha-sapphire-s13425-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s13425/image/certified-natural-madagascar-pear-padparadscha-sapphire-2.0200-cts-s13425-1-full.jpg,S13425,7474,2.02,"$3,700 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Pear,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,10.97,6.44,3.98,681.3126709206928
Padparadscha Sapphire - Oval 1.56 Ct. #S12830,https://www.thenaturalsapphirecompany.com/1.56ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s12830-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s12830/image/certified-natural-untreated-ceylon(srilanka)-oval-padparadscha-sapphire-1.5600-cts-s12830-1-full.jpg,S12830,7504,1.56,"$4,810.26 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,6.79,5.8,4.76,1105.1546391752577
Padparadscha Sapphire - Oval 1.57 Ct. #S10299,https://www.thenaturalsapphirecompany.com/1.57ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s10299-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s10299/image/certified-natural-untreated-ceylon(srilanka)-oval-padparadscha-sapphire-1.5700-cts-s10299-1-full.jpg,S10299,7697,1.57,"$4,902.55 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,8.2,5.91,4.01,938.6585365853659
Padparadscha Sapphire - Cushion 1.60 Ct. #S8366,https://www.thenaturalsapphirecompany.com/1.60ct-ceylon-sri-lanka-cushion-padparadscha-sapphire-s8366-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s8366/image/certified-natural-untreated-ceylon(srilanka)-cushion-padparadscha-sapphire-1.6000-cts-s8366-1-full.jpg,S8366,8436,1.60,"$5,272.5 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,7.24,5.66,4.02,1165.1933701657458
Padparadscha Sapphire - Cushion 2.50 Ct. #S14311,https://www.thenaturalsapphirecompany.com/2.50ct-madagascar-cushion-padparadscha-sapphire-s14311-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s14311/image/certified-natural-untreated-madagascar-cushion-padparadscha-sapphire-2.5000-cts-s14311-1-full.jpg,S14311,8500,2.50,"$3,400 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,Very Slightly Included,Mixed Brilliant,Medium Intense,Madagascar,No Enhancement,8.27,7.23,3.82,1027.8113663845224
Padparadscha Sapphire - Oval 2.77 Ct. #S14135,https://www.thenaturalsapphirecompany.com/2.77ct-madagascar-oval-padparadscha-sapphire-s14135-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s14135/image/certified-natural-madagascar-oval-padparadscha-sapphire-2.7700-cts-s14135-1-full.jpg,S14135,8584,2.77,"$3,098.92 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,8.59,7.34,4.66,999.3015133876601
Padparadscha Sapphire - Round 2.25 Ct. #S12043,https://www.thenaturalsapphirecompany.com/2.25ct-madagascar-round-padparadscha-sapphire-s12043-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s12043/image/certified-natural-ceylon(srilanka)-round-pink-sapphire-2.2400-cts-s12043-1-full.jpg,S12043,8741,2.25,"$3,884.89 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Round,Very Slightly Included,Mixed Brilliant,Medium Intense,Madagascar,Heated,8.65,8.57,3.83,1010.5202312138728
